model,rmse,mae,r2,batch_inference_ms_total,single_prediction_latency_ms,n,train_time_s
LinearRegression,5.025506743952963,3.988563250007222,0.8783340966937312,9.065922999980103,2.808591000018623,13000.0,0.06702419000004056
RandomForest,5.166388952723649,4.093233596811932,0.8714170566951931,351.2978719999751,15.864367000006041,13000.0,22.292965786000025
HistGradientBoosting,5.078291677091626,4.033053315736436,0.8757648617892038,67.92515199998661,3.5736159999828487,13000.0,0.47915905900003963
XGBoost,5.098479736349757,4.0429319768025325,0.8747751385788916,76.29284600000119,3.5033930000167857,13000.0,1.128756214999953
